College Name,City,State,Rank,Wikipedia Page,Wikidata ID,Logo Source,Logo URL,Logo Path,Confidence
"Indian Institute Of Technology, Madras",Chennai,Tamil Nadu,1,,,Tier 0: UniLogo GitHub Repo,Local Repository,logos\indian_institute_of_technology_madras.png,Very High
"Indian Institute Of Technology, Kharagpur",Kharagpur,West Bengal,3,,,Tier 0: UniLogo GitHub Repo,Local Repository,logos\indian_institute_of_technology_kharagpur.png,Very High
Indian Institute of Technology Delhi,New Delhi,Delhi,3,,,Tier 0: UniLogo GitHub Repo,Local Repository,logos\indian_institute_of_technology_delhi.png,Very High
"Indian Institute Of Technology, Roorkee",Roorkee,Uttarakhand,6,,,Tier 0: UniLogo GitHub Repo,Local Repository,logos\indian_institute_of_technology_roorkee.png,Very High
Jawaharlal Nehru University,New Delhi,Delhi,6,,,Tier 0: UniLogo GitHub Repo,Local Repository,logos\jawaharlal_nehru_university.png,Very High
"Indian Institute Of Technology, Hyderabad",Hyderabad,Telangana,7,"Indian Institute of Information Technology, Raichur",Q96382086,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Indian_Institute_of_Information_Technology%2C_Raichur_Logo.svg/500px-Indian_Institute_of_Information_Technology%2C_Raichur_Logo.svg.png,logos\indian_institute_of_technology_hyderabad.png,Very High (Wikipedia)
"Indian Institute Of Technology, Gandhinagar",Ahmedabad,Gujarat,8,,,Tier 3: Favicon HTML,https://iitgn.ac.in/assets/img/fevicon/iitgn-favicon.png,logos\indian_institute_of_technology_gandhinagar.png,High
IIT BHU - Indian Institute of Technology Banaras Hindu University,Varanasi,Uttar Pradesh,9,"Institute of Science, Banaras Hindu University",Q23035147,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/3/30/Institute_of_Science%2C_Banaras_Hindu_University_Logo.png,logos\iit_bhu_indian_institute_of_technology_banaras_hindu_university.png,Very High (Wikipedia)
"Indian Institute Of Technology, Ropar-Rupnagar",Rupnagar,Punjab,9,IIT Ropar,Q1814795,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/3/31/Indian_Institute_of_Technology_Ropar_logo.svg/500px-Indian_Institute_of_Technology_Ropar_logo.svg.png,logos\indian_institute_of_technology_ropar_rupnagar.png,Very High (Wikipedia)
"Indian Institute Of Technology, Patna",Patna,Bihar,10,IIT Patna,Q3440945,Tier 5: Header Logo,https://iitp.ac.in/images/iitp-logo.png,logos\indian_institute_of_technology_patna.png,Medium
Jawaharlal Nehru Centre for Advanced Scientific Research,Bengaluru,Karnataka,11,Jawaharlal Nehru Centre for Advanced Scientific Research,Q6165974,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/0/0e/Jawaharlal_Nehru_Centre_for_Advanced_Scientific_Research_logo.png,logos\jawaharlal_nehru_centre_for_advanced_scientific_research.png,Very High (Wikipedia)
VIT Vellore - Vellore Institute of Technology,Vellore,Tamil Nadu,12,,,Tier 0: UniLogo GitHub Repo,Local Repository,logos\vellore_institute_of_technology.png,Very High
University of Delhi,Delhi,Delhi,14,,,Tier 0: UniLogo GitHub Repo,Local Repository,logos\university_of_delhi.png,Very High
SVNIT Surat - Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,15,"Sardar Vallabhbhai National Institute of Technology, Surat",Q7423738,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/NIT_Surat_Logo.svg/500px-NIT_Surat_Logo.svg.png,logos\svnit_surat_sardar_vallabhbhai_national_institute_of_technology.png,Very High (Wikipedia)
AMU Aligarh - Aligarh Muslim University,Aligarh,Uttar Pradesh,16,,,Tier 0: UniLogo GitHub Repo,Local Repository,logos\aligarh_muslim_university.png,Very High
"Indian Institute Of Technology, Indore",Indore,Madhya Pradesh,16,IIT Indore,Q6020729,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/IITI_Logo.svg/500px-IITI_Logo.svg.png,logos\indian_institute_of_technology_indore.png,Very High (Wikipedia)
Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,16,BITS Pilani,Q2648311,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/BITS_Pilani-Logo.svg/500px-BITS_Pilani-Logo.svg.png,logos\birla_institute_of_technology_science_pilani.png,Very High (Wikipedia)
BITS Pilani - Birla Institute of Technology and Science,RANCHI,Jharkhand,17,BITS Pilani,Q2648311,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/BITS_Pilani-Logo.svg/500px-BITS_Pilani-Logo.svg.png,logos\bits_pilani_birla_institute_of_technology_and_science.png,Very High (Wikipedia)
"Indian Institute Of Technology, Mandi",Mandi,Himachal Pradesh,20,IIT Mandi,Q3532713,Tier 3: Favicon HTML,https://iitmandi.ac.in/images/favicon.png,logos\indian_institute_of_technology_mandi.png,High
MNNIT Allahabad - Motilal Nehru National Institute of Technology Allahabad Prayagraj,Allahabad,Uttar Pradesh,23,Motilal Nehru National Institute of Technology,Q2988778,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/c/c2/Motilal_Nehru_National_Institute_of_Technology_Allahabad_logo.png,logos\mnnit_allahabad_motilal_nehru_national_institute_of_technology_allahabad_prayagraj.png,Very High (Wikipedia)
Indian Agricultural Research Institute,New Delhi,Delhi,23,Indian Agricultural Research Institute,Q3521333,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/7/73/Indian_Agricultural_Research_Institute_Logo.png,logos\indian_agricultural_research_institute.png,Very High (Wikipedia)
"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,23,BITS Pilani,Q2648311,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/BITS_Pilani-Logo.svg/500px-BITS_Pilani-Logo.svg.png,logos\birla_institute_of_technology_and_science_pilani.png,Very High (Wikipedia)
SRM University Chennai - SRM Institute of Science and Technology,Chennai,Tamil Nadu,24,SRM Institute of Science and Technology,Q7392844,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/SRM_Institute_of_Science_and_Technology_Logo.svg/500px-SRM_Institute_of_Science_and_Technology_Logo.svg.png,logos\srm_university_chennai_srm_institute_of_science_and_technology.png,Very High (Wikipedia)
"Amity University, Noida",Gautam Budh Nagar,Uttar Pradesh,25,"Amity University, Noida",Q4746980,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/f/ff/Amity_University_logo.png,logos\amity_university_noida.png,Very High (Wikipedia)
"Indian Institute Of Technology, Jodhpur",Jodhpur,Rajasthan,25,IIT Jodhpur,Q1814816,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/IIT_Jodhpur_Logo.svg/500px-IIT_Jodhpur_Logo.svg.png,logos\indian_institute_of_technology_jodhpur.png,Very High (Wikipedia)
Thapar University-Patiala,PATIALA,Punjab,27,Thapar Institute of Engineering and Technology,Q7710683,Tier 4: OpenGraph,https://thapar.edu/images/logo.png,logos\thapar_university_patiala.png,High
Thapar University - Thapar Institute of Engineering and Technology,Patiala,Punjab,28,,,Tier 5: Header Logo,http://www.tpc.ac.in/images/logo.png,logos\thapar_university_thapar_institute_of_engineering_and_technology.png,Medium
Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,28,Tamil Nadu Agricultural University,Q3522654,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/9/94/Tamil_Nadu_Agricultural_University_Logo.gif,logos\tamil_nadu_agricultural_university.gif,Very High (Wikipedia)
"National Institute Of Technology, Durgapur",Durgapur,West Bengal,30,"National Institute of Technology, Durgapur",Q6973712,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/National_Institute_of_Technology_Durgapur_Text_Logo.svg/500px-National_Institute_of_Technology_Durgapur_Text_Logo.svg.png,logos\national_institute_of_technology_durgapur.png,Very High (Wikipedia)
Visva Bharati,Kolkata,West Bengal,31,Visva-Bharati University,Q1575044,Tier 1: Wikidata P154,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Biswabharati_logo.svg/500px-Biswabharati_logo.svg.png,logos\visva_bharati.png,Very High (Wikipedia)
Jamia Hamdard,New Delhi,Delhi,31,Jamia Hamdard,Q6146410,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Jamia_Hamdard_Logo.svg/500px-Jamia_Hamdard_Logo.svg.png,logos\jamia_hamdard.png,Very High (Wikipedia)
